.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
3,GLMNET,prediction,28/03/2021,4.888364943,3.72994799,6.046781897,131.736365,40.67694048,421.7503842
3,GLMNET,prediction,04/04/2021,4.979007325,3.820590372,6.137424279,144.3300445,44.63113971,461.8598361
3,GLMNET,prediction,11/04/2021,5.028719268,3.870302315,6.187136222,151.7372719,46.95688198,485.4510217
3,GLMNET,prediction,18/04/2021,5.140549254,3.982132301,6.298966207,169.8095604,52.63127039,543.0092266
3,GLMNET,prediction,25/04/2021,5.186407383,4.02799043,6.344824336,177.824948,55.14796451,568.5373339
3,GLMNET,prediction,02/05/2021,5.242540138,4.084123185,6.400957092,188.1499598,58.38984101,601.4213345
3,GLMNET,prediction,09/05/2021,5.352513282,4.194096329,6.510930235,210.1382816,65.2937967,671.4516651
3,GLMNET,prediction,16/05/2021,5.291842562,4.133425609,6.450259515,197.7092223,61.3912854,631.86651
3,GLMNET,prediction,23/05/2021,5.517595838,4.359178885,6.676012792,248.0355951,77.1929027,792.1503434
3,GLMNET,prediction,30/05/2021,5.534779821,4.376362867,6.693196774,252.3519986,78.54817933,805.8976029
3,GLMNET,prediction,06/06/2021,5.431522622,4.273105668,6.589939575,227.496895,70.74410338,726.7368952
3,GLMNET,prediction,13/06/2021,5.580615879,4.422198925,6.739032832,264.234908,82.27920894,843.743332
3,GLMNET,prediction,20/06/2021,5.407797562,4.249380609,6.566214516,222.139595,69.06200313,709.6744976
3,GLMNET,prediction,27/06/2021,5.558941903,4.40052495,6.717358856,258.5480639,80.49363749,825.6313735
3,GLMNET,prediction,04/07/2021,5.385987104,4.639799491,6.132174717,217.3255078,102.5235881,459.4363917
3,GLMNET,prediction,11/07/2021,5.298031786,4.551844173,6.044219399,198.9428921,93.80708789,420.6684743
3,GLMNET,prediction,18/07/2021,5.29961456,4.553426947,6.045802173,199.259607,93.95726488,421.3364085
3,GLMNET,prediction,25/07/2021,5.195531059,4.449343446,5.941718672,179.4639543,84.57074372,379.5884744
3,GLMNET,prediction,01/08/2021,5.051326912,4.305139299,5.797514525,155.22963,73.07953393,328.479628
3,GLMNET,prediction,08/08/2021,4.94677065,4.200583037,5.692958263,139.7197959,65.72522298,295.7702478
